Aadhar_number,Pan_number,Mobile_number,First_name,Last_name,Email_id,Date_of_birth,Gender,Account_no,Customer_id,Date_of_account_opened,City,State,Pin_code,Country,Account_status,Remarks
8037 9792 1403,GVFPD7634U,9385668716,Jason,Green,jasongreen@gmail.com,16-04-1952,Male,9.4472E+14,900256709,28-11-2024,New Delhi,Delhi,110001,India,SUCCESS,Account Activated Successfully
7153 4106 1383,FYDPC3068V,8816612197,Joshua,Maynard,joshuamaynard@yahoo.com,09-04-1980,Male,9.33782E+14,916057705,13-10-2020,Gurgaon,Haryana,122001,India,SUCCESS,Account Activated Successfully
8801 6346 5018,FNQPE6978D,8507983125,Savannah,Robinson,savannahrobinson@hotmail.com,24-04-1939,Female,9.88735E+14,834137057,14-05-2020,Ranchi,Jharkhand,834001,India,SUCCESS,Account Activated Successfully
9001 8154 9729,AWMPU7870C,9224658835,Steven,Golden,stevengolden@gmail.com,25-01-2022,Male,9.58094E+14,907792651,14-10-2023,Ranchi,Jharkhand,834001,India,SUCCESS,Account Activated Successfully
8762 0738 2744,FWBPD7373P,8788495964,Tonya,Irwin,tonyairwin@yahoo.com,16-03-1998,Female,9.71773E+14,940010877,17-02-2023,Shimla,Himachal Pradesh,171001,India,SUCCESS,Account Activated Successfully
8843 3751 4550,DFDPQ8529Z,8911227441,Carla,Holden,carlaholden@hotmail.com,16-01-1925,Female,9.61456E+14,870829590,26-03-2025,Shimla,Himachal Pradesh,171001,India,SUCCESS,Account Activated Successfully
9385 6986 3470,BSOPB4356T,8946568686,Heather,Brown,heatherbrown@gmail.com,17-10-2001,Female,9.90334E+14,941940690,26-10-2020,Raipur,Chhattisgarh,492001,India,SUCCESS,Account Activated Successfully
9162 7028 3407,EQWPX2633F,8216076272,Elizabeth,Blake,elizabethblake@yahoo.com,15-04-1909,Female,9.82203E+14,890934507,17-07-2021,Guwahati,Assam,781001,India,DECLINED,Alert!!! - Match found in Cybercrime Database
8738 2234 7761,ASYPU4538D,7215376236,Logan,Hughes,loganhughes@hotmail.com,05-01-1962,Male,9.24478E+14,939295718,22-02-2021,New Delhi,Delhi,110001,India,DECLINED,Alert!!! - Match found in Cybercrime Database
8818 5798 2996,HNFPK4073G,8174493416,Jason,Moore,jasonmoore@gmail.com,21-01-2011,Male,9.34984E+14,980312183,12-03-2025,Bhopal,Madhya Pradesh,462001,India,SUCCESS,Account Activated Successfully
