S_No.,Complaint_id,Complaint_date,Offender_name,Offender_email_id,Offender_gender,Aadhar_number,Pan_number,Mobile_number,City,State,Pin_code,Country,Ip_address,Status
1,202161,21-06-2024,Stephanie Carter,stephanie carter@gmail.com,Female,989769000000,GIIPV9021J,9190389501,Ahmedabad,Gujarat,380001,India,141.44.119.124,Under Investigation
2,200526,05-03-2024,Timothy Pearson,timothy pearson@gmail.com,Female,992541000000,SXWPA9374D,6242354995,Guwahati,Assam,781001,India,93.72.243.37,Under Investigation
3,202240,23-09-2023,Stacey Mueller,stacey mueller@yahoo.com,Male,989691000000,JNQPN9159P,7445039812,Lucknow,Uttar Pradesh,226001,India,156.179.78.255,Open
4,202616,19-06-2023,Albert Jones,albert jones@hotmail.com,Other,987314000000,VUHPH9646C,9867548361,Lucknow,Uttar Pradesh,226001,India,154.255.97.27,Under Investigation
5,202776,14-11-2022,Mrs. Jacqueline Johnson MD,mrs. jacqueline johnson md@gmail.com,Male,992213000000,RYRPP9004J,8017854906,Bhopal,Madhya Pradesh,462001,India,50.53.57.117,Open
6,201840,13-10-2023,Susan Brown,susan brown@hotmail.com,Other,988426000000,JMTPS9676O,6704261545,Shimla,Himachal Pradesh,171001,India,11.206.41.211,Escalated
7,202266,16-03-2025,Deborah Brown,deborah brown@gmail.com,Other,989527000000,JGNPU9693P,8443732221,Panaji,Goa,403001,India,64.156.120.234,Escalated
8,203077,18-03-2023,Gary Boyd,gary boyd@gmail.com,Male,986455000000,EBAPD9716M,7336375319,Patna,Bihar,800001,India,215.224.55.26,Open
9,200397,22-02-2024,Cindy Perez,cindy perez@gmail.com,Other,986297000000,LSXPY9015U,6821457946,Mumbai,Maharashtra,400001,India,31.74.133.181,Escalated
10,203342,28-02-2023,RandyHarris,randyharris@gmail.com,Male,9382 0574 9135,BZUPC3931P,6731212392,Panaji,Goa,403001,India,118.118.219.122,Under Investigation
11,200158,11-06-2022,Melody Krueger,melody krueger@hotmail.com,Male,991141000000,XNXPF9275H,9868538175,Kochi,Kerala,682001,India,176.111.194.44,Open
12,202275,09-07-2024,Bryan Smith,bryan smith@gmail.com,Other,987631000000,ANCPY9118E,6984042854,Panaji,Goa,403001,India,81.228.239.112,Open
13,200716,02-07-2022,Jesus Black,jesus black@yahoo.com,Female,991767000000,NPSPC9739V,8369896205,Guwahati,Assam,781001,India,10.62.145.249,Under Investigation
14,200979,28-11-2023,Valerie Fox,valerie fox@hotmail.com,Male,991014000000,ACXPG8990V,8470256593,Panaji,Goa,403001,India,66.105.156.88,Escalated
15,202981,10-07-2022,Melissa Santos,melissa santos@hotmail.com,Female,990235000000,QIOPD9840D,7180878341,Panaji,Goa,403001,India,104.214.236.205,Closed
16,200134,22-05-2023,Brian Stone,brian stone@hotmail.com,Male,986561000000,SYWPI9798Z,9907938203,Bhubaneswar,Odisha,751001,India,149.234.226.151,Closed
17,204644,03-05-2024,ScottGreene,scottgreene@hotmail.com,Male,8831 2674 6210,ADXPR7545I,6933044631,Panaji,Goa,403001,India,103.216.81.154,Escalated
18,201359,10-07-2023,Christopher Tucker,christopher tucker@gmail.com,Female,987990000000,STEPD9021Y,6335574745,Hyderabad,Telangana,500001,India,104.249.0.255,Under Investigation
19,203749,10-04-2022,MichaelSmith,michaelsmith@yahoo.com,Male,9041 5441 0462,GYWPY2966V,9224204178,Chennai,Tamil Nadu,600001,India,123.82.31.240,Under Investigation
20,200569,11-01-2023,Tiffany Baker,tiffany baker@gmail.com,Male,987818000000,MNOPP9566Y,9960601217,Ahmedabad,Gujarat,380001,India,2.157.101.31,Open
21,203353,17-02-2025,DebraFemaleranco,debraFemaleranco@gmail.com,Female,9206 0184 7570,DJSPM9068R,9800323090,Mumbai,Maharashtra,400001,India,12.245.199.253,Under Investigation
22,203464,17-02-2024,AnneHernandez,annehernandez@gmail.com,Female,9457 0198 1021,FBBPG5115R,9645213059,Gurgaon,Haryana,122001,India,72.59.20.123,Under Investigation
23,200760,26-09-2022,Savannah Bell,savannah bell@gmail.com,Other,990170000000,OKSPB9882H,6658602891,Lucknow,Uttar Pradesh,226001,India,20.84.128.144,Under Investigation
24,200996,04-06-2023,Nicole Franklin,nicole franklin@gmail.com,Other,991543000000,AMAPL9475E,7689381641,Chennai,Tamil Nadu,600001,India,94.50.211.128,Escalated
